year,age_range,frequency
2001,A.<=1,171
2001,B.>1-<=2 ,144
2001,C.>2-<=3,104
2001,D.>3-<=4 ,70
2001,E.>4-<=5,71
2001,F.>5-<=6 ,64
2001,G.>6-<=7 ,54
2004,A.<=1,169
2004,B.>1-<=2 ,228
2004,C.>2-<=3,143
2004,D.>3-<=4 ,142
2004,E.>4-<=5,128
2004,F.>5-<=6 ,112
2004,G.>6-<=7 ,65
2007,A.<=1,255
2007,B.>1-<=2 ,248
2007,C.>2-<=3,130
2007,D.>3-<=4 ,95
2007,E.>4-<=5,102
2007,F.>5-<=6 ,89
2007,G.>6-<=7 ,52
2009,A.<=1,253
2009,B.>1-<=2 ,237
2009,C.>2-<=3,150
2009,D.>3-<=4 ,115
2009,E.>4-<=5,118
2009,F.>5-<=6 ,82
2009,G.>6-<=7 ,56
2011,A.<=1,268
2011,B.>1-<=2 ,242
2011,C.>2-<=3,133
2011,D.>3-<=4 ,126
2011,E.>4-<=5,120
2011,F.>5-<=6 ,87
2011,G.>6-<=7 ,81
2014,A.<=1,224
2014,B.>1-<=2 ,267
2014,C.>2-<=3,148
2014,D.>3-<=4 ,120
2014,E.>4-<=5,111
2014,F.>5-<=6 ,90
2014,G.>6-<=7 ,72